countid,id,date,counts,
6272666,100062893,4/1/2016 2:00,6,4
6958118,300020904,4/1/2016 2:00,3,4
742457,100009426,4/1/2016 2:00,0,0
1085180,Williamsburg Bridge,4/1/2016 2:15,8,
1427917,Queensboro Bridge,4/1/2016 2:15,2,0
161997,100009424,4/1/2016 2:15,2,4
1770645,Manhattan Bridge,4/1/2016 2:15,3,4
1980377,100010017,4/1/2016 2:15,0,0
3008479,100010020,4/1/2016 2:15,2,0
3263234,100010022,4/1/2016 2:15,2,0
3810567,100047029,4/1/2016 2:15,3,4
4318030,100051865,4/1/2016 2:15,3,4
6124348,100058279,4/1/2016 2:15,1,4
6272667,100062893,4/1/2016 2:15,3,4
6958119,300020904,4/1/2016 2:15,2,4
742458,100009426,4/1/2016 2:15,0,0
1085181,Williamsburg Bridge,4/1/2016 2:30,13,
1427918,Queensboro Bridge,4/1/2016 2:30,0,0
161998,100009424,4/1/2016 2:30,1,4
1770646,Manhattan Bridge,4/1/2016 2:30,5,4
1980378,100010017,4/1/2016 2:30,1,0
3008480,100010020,4/1/2016 2:30,3,0
3263235,100010022,4/1/2016 2:30,3,0
3810568,100047029,4/1/2016 2:30,5,4
4318031,100051865,4/1/2016 2:30,5,4
6124349,100058279,4/1/2016 2:30,4,4
6272668,100062893,4/1/2016 2:30,5,4
6958120,300020904,4/1/2016 2:30,3,4
742459,100009426,4/1/2016 2:30,1,0
1085182,Williamsburg Bridge,4/1/2016 2:45,12,
1427919,Queensboro Bridge,4/1/2016 2:45,2,0
161999,100009424,4/1/2016 2:45,3,4
1770647,Manhattan Bridge,4/1/2016 2:45,0,4
1980379,100010017,4/1/2016 2:45,2,0
3008481,100010020,4/1/2016 2:45,4,0
3263236,100010022,4/1/2016 2:45,0,0
3810569,100047029,4/1/2016 2:45,0,4
4318032,100051865,4/1/2016 2:45,0,4
6124350,100058279,4/1/2016 2:45,3,4
6272669,100062893,4/1/2016 2:45,0,4
6958121,300020904,4/1/2016 2:45,0,4
742460,100009426,4/1/2016 2:45,1,0
1085183,Williamsburg Bridge,4/1/2016 3:00,8,
1427920,Queensboro Bridge,4/1/2016 3:00,2,0
162000,100009424,4/1/2016 3:00,2,4
1770648,Manhattan Bridge,4/1/2016 3:00,4,4
1980380,100010017,4/1/2016 3:00,0,0
3008482,100010020,4/1/2016 3:00,6,0
3263237,100010022,4/1/2016 3:00,1,0
3810570,100047029,4/1/2016 3:00,4,4
4318033,100051865,4/1/2016 3:00,4,4
6124351,100058279,4/1/2016 3:00,1,4
6272670,100062893,4/1/2016 3:00,4,4
6958122,300020904,4/1/2016 3:00,1,4
742461,100009426,4/1/2016 3:00,0,0
1085184,Williamsburg Bridge,4/1/2016 3:15,5,
1427921,Queensboro Bridge,4/1/2016 3:15,0,0
162001,100009424,4/1/2016 3:15,4,4
1770649,Manhattan Bridge,4/1/2016 3:15,1,4
1980381,100010017,4/1/2016 3:15,0,0
3008483,100010020,4/1/2016 3:15,3,0
3263238,100010022,4/1/2016 3:15,1,0
3810571,100047029,4/1/2016 3:15,1,4
4318034,100051865,4/1/2016 3:15,1,4
6124352,100058279,4/1/2016 3:15,0,4
6272671,100062893,4/1/2016 3:15,1,4
6958123,300020904,4/1/2016 3:15,1,4
742462,100009426,4/1/2016 3:15,0,0
1085185,Williamsburg Bridge,4/1/2016 3:30,2,
1427922,Queensboro Bridge,4/1/2016 3:30,2,0
162002,100009424,4/1/2016 3:30,1,4
1770650,Manhattan Bridge,4/1/2016 3:30,3,4
1980382,100010017,4/1/2016 3:30,0,0
3008484,100010020,4/1/2016 3:30,1,0
3263239,100010022,4/1/2016 3:30,4,0
3810572,100047029,4/1/2016 3:30,3,4
4318035,100051865,4/1/2016 3:30,3,4
6124353,100058279,4/1/2016 3:30,3,4
6272672,100062893,4/1/2016 3:30,3,4
6958124,300020904,4/1/2016 3:30,4,4
742463,100009426,4/1/2016 3:30,0,0
1085186,Williamsburg Bridge,4/1/2016 3:45,6,
1427923,Queensboro Bridge,4/1/2016 3:45,0,0
162003,100009424,4/1/2016 3:45,0,4
1770651,Manhattan Bridge,4/1/2016 3:45,2,4
1980383,100010017,4/1/2016 3:45,2,0
3008485,100010020,4/1/2016 3:45,3,0
3263240,100010022,4/1/2016 3:45,2,0
3810573,100047029,4/1/2016 3:45,2,4
4318036,100051865,4/1/2016 3:45,2,4
6124354,100058279,4/1/2016 3:45,1,4
6272673,100062893,4/1/2016 3:45,2,4
6958125,300020904,4/1/2016 3:45,2,4
742464,100009426,4/1/2016 3:45,0,0
1085187,Williamsburg Bridge,4/1/2016 4:00,2,
1427924,Queensboro Bridge,4/1/2016 4:00,0,0
162004,100009424,4/1/2016 4:00,1,4
1770652,Manhattan Bridge,4/1/2016 4:00,0,4
1980384,100010017,4/1/2016 4:00,0,0
3008486,100010020,4/1/2016 4:00,2,0
3263241,100010022,4/1/2016 4:00,0,0
3810574,100047029,4/1/2016 4:00,0,4
4318037,100051865,4/1/2016 4:00,0,4
6124355,100058279,4/1/2016 4:00,2,4
6272674,100062893,4/1/2016 4:00,0,4
6958126,300020904,4/1/2016 4:00,0,4
742465,100009426,4/1/2016 4:00,0,0
1085188,Williamsburg Bridge,4/1/2016 4:15,7,
1427925,Queensboro Bridge,4/1/2016 4:15,8,0
162005,100009424,4/1/2016 4:15,2,4
1770653,Manhattan Bridge,4/1/2016 4:15,3,4
1980385,100010017,4/1/2016 4:15,0,0
3008487,100010020,4/1/2016 4:15,2,0
3263242,100010022,4/1/2016 4:15,2,0
3810575,100047029,4/1/2016 4:15,3,4
4318038,100051865,4/1/2016 4:15,3,4
6124356,100058279,4/1/2016 4:15,0,4
6272675,100062893,4/1/2016 4:15,3,4
6958127,300020904,4/1/2016 4:15,2,4
742466,100009426,4/1/2016 4:15,0,0
1085189,Williamsburg Bridge,4/1/2016 4:30,5,
1427926,Queensboro Bridge,4/1/2016 4:30,11,0
162006,100009424,4/1/2016 4:30,4,4
1770654,Manhattan Bridge,4/1/2016 4:30,4,4
1980386,100010017,4/1/2016 4:30,0,0
3008488,100010020,4/1/2016 4:30,46,0
3263243,100010022,4/1/2016 4:30,2,0
3810576,100047029,4/1/2016 4:30,4,4
4318039,100051865,4/1/2016 4:30,4,4
6124357,100058279,4/1/2016 4:30,2,4
6272676,100062893,4/1/2016 4:30,4,4
6958128,300020904,4/1/2016 4:30,2,4
742467,100009426,4/1/2016 4:30,0,0
1085190,Williamsburg Bridge,4/1/2016 4:45,6,
1427927,Queensboro Bridge,4/1/2016 4:45,5,0
162007,100009424,4/1/2016 4:45,1,4
1770655,Manhattan Bridge,4/1/2016 4:45,1,4
1980387,100010017,4/1/2016 4:45,10,0
3008489,100010020,4/1/2016 4:45,1,0
3263244,100010022,4/1/2016 4:45,0,0
3810577,100047029,4/1/2016 4:45,1,4
4318040,100051865,4/1/2016 4:45,1,4
6124358,100058279,4/1/2016 4:45,2,4
6272677,100062893,4/1/2016 4:45,1,4
6958129,300020904,4/1/2016 4:45,0,4
742468,100009426,4/1/2016 4:45,0,0
1085191,Williamsburg Bridge,4/1/2016 5:00,0,
1427928,Queensboro Bridge,4/1/2016 5:00,17,0
162008,100009424,4/1/2016 5:00,0,4
1770656,Manhattan Bridge,4/1/2016 5:00,0,4
1980388,100010017,4/1/2016 5:00,0,0
3008490,100010020,4/1/2016 5:00,0,0
3263245,100010022,4/1/2016 5:00,1,0
3810578,100047029,4/1/2016 5:00,0,4
4318041,100051865,4/1/2016 5:00,0,4
6124359,100058279,4/1/2016 5:00,0,4
6272678,100062893,4/1/2016 5:00,0,4
6958130,300020904,4/1/2016 5:00,1,4
742469,100009426,4/1/2016 5:00,0,0
1085192,Williamsburg Bridge,4/1/2016 5:15,4,
1427929,Queensboro Bridge,4/1/2016 5:15,34,0
162009,100009424,4/1/2016 5:15,4,4
1770657,Manhattan Bridge,4/1/2016 5:15,4,4
1980389,100010017,4/1/2016 5:15,12,0
3008491,100010020,4/1/2016 5:15,5,0
3263246,100010022,4/1/2016 5:15,2,0
3810579,100047029,4/1/2016 5:15,4,4
4318042,100051865,4/1/2016 5:15,4,4
6124360,100058279,4/1/2016 5:15,0,4
6272679,100062893,4/1/2016 5:15,4,4
6958131,300020904,4/1/2016 5:15,2,4
742470,100009426,4/1/2016 5:15,0,0
1085193,Williamsburg Bridge,4/1/2016 5:30,9,
1427930,Queensboro Bridge,4/1/2016 5:30,28,0
162010,100009424,4/1/2016 5:30,4,4
1770658,Manhattan Bridge,4/1/2016 5:30,9,4
1980390,100010017,4/1/2016 5:30,0,0
3008492,100010020,4/1/2016 5:30,3,0
3263247,100010022,4/1/2016 5:30,4,0
3810580,100047029,4/1/2016 5:30,9,4
4318043,100051865,4/1/2016 5:30,9,4
6124361,100058279,4/1/2016 5:30,2,4
6272680,100062893,4/1/2016 5:30,9,4
6958132,300020904,4/1/2016 5:30,4,4
742471,100009426,4/1/2016 5:30,0,0
1085194,Williamsburg Bridge,4/1/2016 5:45,5,
1427931,Queensboro Bridge,4/1/2016 5:45,23,0
162011,100009424,4/1/2016 5:45,8,4
1770659,Manhattan Bridge,4/1/2016 5:45,7,4
1980391,100010017,4/1/2016 5:45,3,0
3008493,100010020,4/1/2016 5:45,4,0
3263248,100010022,4/1/2016 5:45,2,0
3810581,100047029,4/1/2016 5:45,7,4
4318044,100051865,4/1/2016 5:45,7,4
6124362,100058279,4/1/2016 5:45,1,4
6272681,100062893,4/1/2016 5:45,7,4
6958133,300020904,4/1/2016 5:45,2,4
742472,100009426,4/1/2016 5:45,1,0
1085195,Williamsburg Bridge,4/1/2016 6:00,11,
1427932,Queensboro Bridge,4/1/2016 6:00,35,0
162012,100009424,4/1/2016 6:00,6,4
1770660,Manhattan Bridge,4/1/2016 6:00,6,4
1980392,100010017,4/1/2016 6:00,4,0
3008494,100010020,4/1/2016 6:00,4,0
3263249,100010022,4/1/2016 6:00,9,0
3810582,100047029,4/1/2016 6:00,6,4
4318045,100051865,4/1/2016 6:00,6,4
6124363,100058279,4/1/2016 6:00,4,4
6272682,100062893,4/1/2016 6:00,6,4
6958134,300020904,4/1/2016 6:00,9,4
742473,100009426,4/1/2016 6:00,0,0
1085196,Williamsburg Bridge,4/1/2016 6:15,15,
1427933,Queensboro Bridge,4/1/2016 6:15,28,0
162013,100009424,4/1/2016 6:15,4,4
1770661,Manhattan Bridge,4/1/2016 6:15,12,4
1980393,100010017,4/1/2016 6:15,3,0
3008495,100010020,4/1/2016 6:15,6,0
3263250,100010022,4/1/2016 6:15,7,0
3810583,100047029,4/1/2016 6:15,12,4
4318046,100051865,4/1/2016 6:15,12,4
6124364,100058279,4/1/2016 6:15,6,4
6272683,100062893,4/1/2016 6:15,12,4
6958135,300020904,4/1/2016 6:15,7,4
742474,100009426,4/1/2016 6:15,1,0
1085197,Williamsburg Bridge,4/1/2016 6:30,21,
1427934,Queensboro Bridge,4/1/2016 6:30,23,0
162014,100009424,4/1/2016 6:30,7,4
1770662,Manhattan Bridge,4/1/2016 6:30,11,4
1980394,100010017,4/1/2016 6:30,8,0
3008496,100010020,4/1/2016 6:30,5,0
3263251,100010022,4/1/2016 6:30,5,0
3810584,100047029,4/1/2016 6:30,11,4
4318047,100051865,4/1/2016 6:30,11,4
6124365,100058279,4/1/2016 6:30,9,4
6272684,100062893,4/1/2016 6:30,11,4
6958136,300020904,4/1/2016 6:30,5,4
742475,100009426,4/1/2016 6:30,0,0
1085198,Williamsburg Bridge,4/1/2016 6:45,25,
1427935,Queensboro Bridge,4/1/2016 6:45,41,0
162015,100009424,4/1/2016 6:45,5,4
1770663,Manhattan Bridge,4/1/2016 6:45,10,4
1980395,100010017,4/1/2016 6:45,10,0
3008497,100010020,4/1/2016 6:45,4,0
3263252,100010022,4/1/2016 6:45,7,0
3810585,100047029,4/1/2016 6:45,10,4
4318048,100051865,4/1/2016 6:45,10,4
6124366,100058279,4/1/2016 6:45,7,4
6272685,100062893,4/1/2016 6:45,10,4
6958137,300020904,4/1/2016 6:45,7,4
742476,100009426,4/1/2016 6:45,1,0
1085199,Williamsburg Bridge,4/1/2016 7:00,18,
1427936,Queensboro Bridge,4/1/2016 7:00,31,0
162016,100009424,4/1/2016 7:00,0,4
1770664,Manhattan Bridge,4/1/2016 7:00,14,4
1980396,100010017,4/1/2016 7:00,2,0
3008498,100010020,4/1/2016 7:00,6,0
3263253,100010022,4/1/2016 7:00,7,0
3810586,100047029,4/1/2016 7:00,14,4
4318049,100051865,4/1/2016 7:00,14,4
6124367,100058279,4/1/2016 7:00,11,4
6272686,100062893,4/1/2016 7:00,14,4
6958138,300020904,4/1/2016 7:00,7,4
742477,100009426,4/1/2016 7:00,0,0
1085200,Williamsburg Bridge,4/1/2016 7:15,15,
1427937,Queensboro Bridge,4/1/2016 7:15,42,0
162017,100009424,4/1/2016 7:15,11,4
1770665,Manhattan Bridge,4/1/2016 7:15,19,4
1980397,100010017,4/1/2016 7:15,5,0
3008499,100010020,4/1/2016 7:15,8,0
3263254,100010022,4/1/2016 7:15,16,0
3810587,100047029,4/1/2016 7:15,19,4
4318050,100051865,4/1/2016 7:15,19,4
6124368,100058279,4/1/2016 7:15,15,4
6272687,100062893,4/1/2016 7:15,19,4
6958139,300020904,4/1/2016 7:15,16,4
742478,100009426,4/1/2016 7:15,0,0
1085201,Williamsburg Bridge,4/1/2016 7:30,46,
1427938,Queensboro Bridge,4/1/2016 7:30,39,0
162018,100009424,4/1/2016 7:30,10,4
1770666,Manhattan Bridge,4/1/2016 7:30,21,4
1980398,100010017,4/1/2016 7:30,7,0
3008500,100010020,4/1/2016 7:30,6,0
3263255,100010022,4/1/2016 7:30,23,0
3810588,100047029,4/1/2016 7:30,21,4
4318051,100051865,4/1/2016 7:30,21,4
6124369,100058279,4/1/2016 7:30,13,4
6272688,100062893,4/1/2016 7:30,21,4
6958140,300020904,4/1/2016 7:30,23,4
742479,100009426,4/1/2016 7:30,2,0
1085202,Williamsburg Bridge,4/1/2016 7:45,45,
1427939,Queensboro Bridge,4/1/2016 7:45,30,0
162019,100009424,4/1/2016 7:45,15,4
1770667,Manhattan Bridge,4/1/2016 7:45,34,4
1980399,100010017,4/1/2016 7:45,5,0
3008501,100010020,4/1/2016 7:45,10,0
3263256,100010022,4/1/2016 7:45,21,0
3810589,100047029,4/1/2016 7:45,34,4
4318052,100051865,4/1/2016 7:45,34,4
6124370,100058279,4/1/2016 7:45,19,4
6272689,100062893,4/1/2016 7:45,34,4
6958141,300020904,4/1/2016 7:45,21,4
742480,100009426,4/1/2016 7:45,0,0
1085203,Williamsburg Bridge,4/1/2016 8:00,32,
1427940,Queensboro Bridge,4/1/2016 8:00,57,0
162020,100009424,4/1/2016 8:00,11,4
1770668,Manhattan Bridge,4/1/2016 8:00,32,4
1980400,100010017,4/1/2016 8:00,11,0
3008502,100010020,4/1/2016 8:00,13,0
3263257,100010022,4/1/2016 8:00,24,0
3810590,100047029,4/1/2016 8:00,32,4
4318053,100051865,4/1/2016 8:00,32,4
6124371,100058279,4/1/2016 8:00,18,4
6272690,100062893,4/1/2016 8:00,32,4
6958142,300020904,4/1/2016 8:00,24,4
742481,100009426,4/1/2016 8:00,2,0
1085204,Williamsburg Bridge,4/1/2016 8:15,54,
1427941,Queensboro Bridge,4/1/2016 8:15,35,0
162021,100009424,4/1/2016 8:15,10,4
1770669,Manhattan Bridge,4/1/2016 8:15,53,4
1980401,100010017,4/1/2016 8:15,5,0
3008503,100010020,4/1/2016 8:15,6,0
3263258,100010022,4/1/2016 8:15,30,0
3810591,100047029,4/1/2016 8:15,53,4
4318054,100051865,4/1/2016 8:15,53,4
6124372,100058279,4/1/2016 8:15,22,4
6272691,100062893,4/1/2016 8:15,53,4
6958143,300020904,4/1/2016 8:15,30,4
742482,100009426,4/1/2016 8:15,1,0
1085205,Williamsburg Bridge,4/1/2016 8:30,80,
1427942,Queensboro Bridge,4/1/2016 8:30,59,0
162022,100009424,4/1/2016 8:30,15,4
1770670,Manhattan Bridge,4/1/2016 8:30,51,4
1980402,100010017,4/1/2016 8:30,5,0
3008504,100010020,4/1/2016 8:30,21,0
3263259,100010022,4/1/2016 8:30,40,0
3810592,100047029,4/1/2016 8:30,51,4
4318055,100051865,4/1/2016 8:30,51,4
6124373,100058279,4/1/2016 8:30,12,4
6272692,100062893,4/1/2016 8:30,51,4
6958144,300020904,4/1/2016 8:30,40,4
